Long,Lat,Name,Place ID,Materials
-46.5480155,-23.5355632,Ecoponto - Viaduto Eng.º Alberto Badra,ChIJI3YJu2dezpQRVovLuu20ipM,papel;plástico;metal;vidro;entulho;móveis
-46.4827493,-23.52295,Ecoponto - Jardim São Nicolau,ChIJH4h6H9pgzpQRvhfmcAKA1HE,papel;plástico;metal;vidro;entulho;móveis
-46.3992843,-23.5655981,Ecoponto- Jardim São Paulo,ChIJe-dQMnRlzpQRE3VSJ8q7vfo,papel;plástico;metal;vidro;entulho;móveis
-46.4111933,-23.589706,Ecoponto - Nascer do Sol,ChIJ8X1l1mVvzpQRVX8C7Hfyd34,papel;plástico;metal;vidro;entulho;móveis
-46.4639847,-23.5205754,Ecoponto - Parque Guarani,ChIJt3EVNDFhzpQRVPrhOV5pvMI,papel;plástico;metal;vidro;entulho;móveis
-46.37081,-23.4974419,Ecoponto - Moreira,ChIJG_WvjKhkzpQRhD-Mn98gXLU,papel;plástico;metal;vidro;entulho;móveis
-46.6306006,-23.6324301,Ecoponto - Imigrantes,ChIJSZ01ygJbzpQRWoqfVxbh6D8,papel;plástico;metal;vidro;entulho;móveis
-46.4620587,-23.6293732,Ecoponto - Cipoaba,ChIJ94mrwuhozpQR6NinGlUwnUE,papel;plástico;metal;vidro;entulho;móveis
-46.4573729,-23.5112824,Ecoponto - Imperador,ChIJPZeBuUdhzpQR4n0dhgKWbp8,papel;plástico;metal;vidro;entulho;móveis
-46.3944134,-23.490697,Ecoponto - Carlito Maia,ChIJY75UpnFjzpQRvvCVK-4eL-I,papel;plástico;metal;vidro;entulho;móveis
-46.4624155,-23.5063706,Ecoponto - Pedro Nunes,ChIJxSBA6hVhzpQR814PIr-gBUM,papel;plástico;metal;vidro;entulho;móveis
-46.5712273,-23.5825282,Ecoponto - Anhaia Mello,hIJV06QoHJdzpQR2SSSyJa_UM4,papel;plástico;metal;vidro;entulho;móveis
-46.5344086,-23.5991004,Ecoponto - São Lucas,ChIJV06QoHJdzpQR2SSSyJa_UM4,papel;plástico;metal;vidro;entulho;móveis
