X,Y,Name,Place ID,Materials
-46.648983,-23.616292,LALEC,ChIJV_YJS0JazpQRjDLbjJOp47c,roupas;brinquedos;móveis;eletrônicos
-46.657552,-23.600324,LALEC - Lar Amor Luz e Esperança da Criança,ChIJYX88vBtazpQRiGtbbcN8qG0,roupas;brinquedos;móveis;eletrônicos
-46.643124,-23.626308,IMSJT - Instituto Meninos de São Judas Tadeu,ChIJaUeCXlhazpQRFOGvgtIjycM,roupas;brinquedos;móveis;eletrodomésticos;livros
-46.652375,-23.596455,AACC - Associação de Apoio à Criança com Câncer,ChIJJS4miiNazpQRGSB3Rho4sZc,roupas;brinquedos;móveis;eletrodomésticos;livros
-46.654013,-23.614349,Casa Hope,ChIJmWFz1YtZzpQR-lGzduvUUTc,roupas;brinquedos;móveis;eletrônicos;eletrodomésticos;livros
-46.646638,-23.585516,Bazar Casa Hope,ChIJ02AYAYxZzpQRo4NjYelzZks,roupas;brinquedos;móveis;eletrônicos;eletrodomésticos;livros
-46.660687,-23.596875,AACD - Lar Escola São Francisco,ChIJ0ep1NB1azpQRXPYiZIlaXFg,roupas;brinquedos;móveis;livros
-46.643676,-23.588481,Bazar Samburá - AACD,ChIJ1efwSohZzpQRdim2vcFvTqY,roupas;brinquedos;móveis;livros
-46.642527,-23.598298,Bazar GRAACC,ChIJaRFTRiVazpQRlMRk40K1b2o,roupas;brinquedos;eletrônicos;eletrodomésticos;livros
-46.681232,-23.547814,Liga Solidária,ChIJ5eP6H45XzpQRw_Ay4ZvN_Cs,roupas;brinquedos;móveis;eletrônicos;eletrodomésticos;livros
-46.680128,-23.550830,Liga Solidária,ChIJx17yH45XzpQR9_vUicwOT2g,roupas;brinquedos;móveis;eletrônicos;eletrodomésticos;livros
-46.565271,-23.544431,Lar Sírio Pró-Infância,ChIJkyP4vZJezpQRIqYEDCcnHKQ,roupas;brinquedos;eletrônicos
-46.634248,-23.612279,Sede do Exército de Salvação,ChIJi4yUVUxazpQRVrfOQrmMGak,roupas;livros;brinquedos;móveis
-46.660631,-23.650175,Bazar São Paulo - Vila Mascote,ChIJ_dCpg5dazpQRZbkYOLyEdnw,roupas;livros;brinquedos;móveis
-46.612504,-23.698558,Bazar Diadema,ChIJ09CWkGdEzpQROvUGw4iNk7Y,roupas;livros;brinquedos;móveis
-46.5685531,-23.7053095,Bazar São Bernardo,ChIJN-vDuMRDzpQRvCUIdoK9Yto,roupas;livros;brinquedos;móveis
-46.480979,-23.6042987,Bazar São Paulo - São Mateus,ChIJCXujidNnzpQRzAGYEv2--PI,roupas;livros;brinquedos;móveis
-46.527797,-23.654083,Bazar Santo André,ChIJ9z_P149CzpQRd_H3t7xolfM,roupas;livros;brinquedos;móveis
-46.521295,-23.522943,Carrefour Penha,ChIJqw38BSRezpQR_mU_9VSOXao,roupas;livros;brinquedos;móveis
-46.6759086,-23.6752827,Carrefour Interlagos,ChIJIZER4AJQzpQREda1fElCVI4,roupas;livros;brinquedos;móveis
-46.7111313,-23.6283559,Carrefour Pinheiros,ChIJxXppWSBRzpQRNnyVfPHbGW4,roupas;livros;brinquedos;móveis
-46.7694372,-23.539955,Carrefour Osasco,ChIJJ8hxVmr_zpQRCi2m7StpAVI,roupas;livros;brinquedos;móveis
-46.7351365,-23.6423732,Carrefour Giovanni Gronchi,ChIJ4S0ZpmlRzpQRQyAuEmXFric,roupas;livros;brinquedos;móveis
-46.6272694,-23.6178085,Carrefour Imigrantes,ChIJzS8lXKlbzpQRMMdGTZMBhD8,roupas;livros;brinquedos;móveis
-46.6136813,-23.5632643,Carrefour Cambuci,ChIJtyYqAUJZzpQRzVrGnV8jgmk,roupas;livros;brinquedos;móveis
-46.5546834,-23.6760983,Carrefour São Bernardo,ChIJQZ6iylRCzpQRRlFDvjq1PRc,roupas;livros;brinquedos;móveis
-46.5214992,-23.4679998,Carrefour Guarulhos,ChIJr9Unjlb1zpQRHqjtC3p0WDo,roupas;livros;brinquedos;móveis
-46.6867849,-23.6257289,Carrefour Brooklin,ChIJJTAyspVQzpQRhwNCGMdG6Rw,roupas;livros;brinquedos;móveis
-46.7788196,-23.5848242,Carrefour Raposo Tavares,ChIJC8Muj6NVzpQR_ieGacHPy0s,roupas;livros;brinquedos;móveis
-46.5154427,-23.5593109,Carrefour Aricanduva,ChIJtz7WxlhnzpQRZvC0Aj_k9hk,roupas;livros;brinquedos;móveis
