x,y,gid,Name,description
-46.5480155,-23.5355632,1,Ecoponto - Viaduto Eng.º Alberto Badra,"Viaduto Eng.º Alberto Badra — Av. Aricanduva, nº 200 — Sob Viad. Eng.º Alberto Barra - Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4827493,-23.52295,2,Ecoponto - Jardim São Nicolau,"Rua Agreste de Itabaiana, nº 590 Esq. Rua Eduardo Kyioshi Shimuta. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.3992843,-23.5655981,3,Ecoponto- Jardim São Paulo,"Rua Utaro Kanai ao lado do Posto de Saúde (286), Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4111933,-23.589706,4,Ecoponto - Nascer do Sol,"Rua Nascer do Sol, 356 - Vila Marilena. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4639847,-23.5205754,5,Ecoponto - Parque Guarani,"Rua Manuel Alves da Rocha, nº 584. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.37081,-23.4974419,6,Ecoponto - Moreira,"João Batista de Godói, nº 1164. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6306006,-23.6324301,7,Ecoponto - Imigrantes,"Rua Opixe S/Nº x Rua Frederico Hoeme. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4620587,-23.6293732,8,Ecoponto - Cipoaba,"Rua Padre Luís de Siqueira X Av. Rodolfo Pirani. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4518073,-23.6070047,9,Ecoponto- Iguatemi,"Rua Francisco de Melo Palheta x Rua Morro do Frade. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4573729,-23.5112824,10,Ecoponto - Imperador,"Av. Ribeirão Jacu, n° 201 (Baixos do Viad. Jacu Pêssego). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
