x,y,gid,Name,description
"-46,656191","-23,513087",1,Lixo Eletrônico - Coopermiti (Santa Cecília),"http://www.coopermiti.com.br/ <br>Rua João Rudge, 366, Casa Verde. Tel.: (11) 3666 -0849; Funcionamento: de segunda a sexta, das 8h às 17h, sábado das 8h às 12h; Retira volumes de grandes de empresas. Recebe: pilhas, computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,525473","-23,580902",2,Lixo Eletrônico - CEU Formosa ,"Rua Sargento Claudiner Evaristo Dias, 10. Parque Santo Antônio. Tel.: 2036-4300. Funcionamento: de segunda a sexta, das 9h às 17h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,75722","-23,547346",3,Lixo Eletrônico - Shopping Continental ,"http://www.continentalshopping.com.br/<br>Av. Leão Machado, 100, Jaguaré, estacionamentos A1 e A2. Telefones: (11) 4040-4981 ou (11) 2666-3830; Funcionamento: diariamente das 10h às 23h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros. Exceto objetos grandes."
"-46,707894","-23,651317",4,Lixo Eletrônico - Paço Cultural Julio Guerra ,"Praça Floriano Peixoto, 131, Santo Amaro. Tel.: 5523-6455. Funcionamento: de segunda a sexta, das 9h às 17h; entrada para carros pela rua Paulo Eiró. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,729749","-23,584273",5,Lixo Eletrônico - Parque Luis Carlos Prestes,"Rua João Della Manna, 665, Butantã. Tel.: 3721-4965. Funcionamento: 24 horas. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,726374","-23,579058",6,Lixo Eletrônico - Parque da Previdência ,"Rua Pedro Peccinini, 88, Jardim Previdência. Tel.: (11) 3721-8951; Funcionamento: de segunda a domingo, das 7h às 18h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,701","-23,589273",7,Lixo Eletrônico - Parque Alfredo Volpi,"Rua Engenheiro Oscar Americano, 480, Morumbi. Tel.(11) 3031-7052. Funcionamento: de segunda a domingo, das 6h às 19h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,600002","-23,527564",8,Lixo Eletrônico - Associação Reciclázaro ,"http://www.reciclazaro.org.br/<br>Av. Ariston Azevedo, 10, Belenzinho. Tel.: (11) 2081-3673. Funcionamento: de segunda a sexta, das 8h às 16h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,742705","-23,559728",9,Lixo Eletrônico - CEDIR - USP,"http://www.cedir.usp.br/<br>cedir@usp.br <br>Av. Professor Almeida Prado, 1280 (prédio da Prefeitura da USP), Cidade Universitária, Butantã. Telefones: (11) 3091-8237 ou (11) 3091-8238. Funcionamento: de segunda a sexta, das 8h30 às 17h, fecha para almoço das 12h às 14h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,645493","-23,483184",10,Lixo Eletrônico - Santana Parque Shopping,"http://santanaparqueshopping.com.br<br>Rua Conselheiro Moreira de Barros, 2.780. Tel.: (11) 2238-3002. Funcionamento: de segunda a domingo, das 10h às 22h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, liquidificadores (objetos pequenos). "
"-46,700046","-23,522478",11,Lixo Eletrônico - Colégio Heitor Garcia,"http://www.colegioheitorgarcia.com.br/<br>secretaria@colegioheitorgarcia.com.br<br>Rua Roma, 350, Lapa. Tel.: (11) 3853-4996. Funcionamento: de segunda a sexta, das 8h às 18h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,470576","-23,481766",12,Lixo Eletrônico - Cooperativa de Reciclagem Nova Esperança,"Rua Japichauá, 311, Ermelino Matarazzo. Tel.: (11) 2214-2350. Funcionamento: segunda a domingo, das 8h às 17h; sábado, das 8h às 12h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros. Exceto pilhas."
"-46,45784","-23,622506",13,Lixo Eletrônico - Cooperativa Chico Mendes,"R. Cinira Polônio, 369, São Mateus. Tel.: (11) 2752-9446. Funcionamento: de segunda a sexta, das 8h às 17h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros. Exceto pilhas"
"-46,534848","-23,561442",14,Lixo Eletrônico - Ecobraz,"http://www.lixoeletronico.org.br/   http://www.lixoeletronico.org.br/                             Rua Salomé Queiroga, 64, Vila Carrão. Tel.: (11) 4329-2001. Funcionamento: de segunda a sexta, das 8h às 16h. Agendamento de coleta na residência ou empresa pode ser feito pelo site. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros. Exceto pilhas, eletrodomésticos da linha branca e TVs de tubo."
"-46,638245","-23,536338",15,Lixo Eletrônico - Sobreira,"Rua do Triunfo 203 - Sta. Efigênia. Tel.: (11) 3333-2135 www.sobreiralixoeletronico.com.br/<br>contato@sobreiralixoeletronico.com.br<br>Funcionamento: de segunda a sexta, das 8h às 18h. Sabádo, das 8h às 14h. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros.Exceto Pilhas. Realiza coleta agendada em empresas e domicílios."
"-46,5763111","-23,5889095",16,Lixo Eletrônico - Cidadão Eco / Dual Computadores,"www.cidadaoeco.com.br/        www.dualcomputer.com.br/                                  Fones (11) 2084.3267 / 2387.8250<br>Rua Manaias, 204 - Sala 5 Vila Zelina.   Atendimento: Segunda à Sexta-feira das 10h00 às 16h00. Cidadão Eco: faz a agendamento para retirada de grandes volumes. Segunda a Sexta-Feira das 09:00hs às 17:00hs. Recebe: computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros."
"-46,5729464","-23,5564642",17,Lixo Eletrônico - Sucata Digital,"http://sucatadigital.com.br/ contato@sucatadigital.com.br                               Av. Ver. Abel Ferreira, 394 - Vila Reg. Feijo Horário de Funcionamento: Segunda à Quinta: 07 às 17h. Sexta: 07h às 16h.                       Recebe:computadores, CPUs, notebooks, impressoras, rádios, celulares, televisões, micro-ondas, liquidificadores, entre outros. Realiza coleta agendada em empresas e domicílios."
"-46,7052199","-23,5218107",18,Lixo Eletrônico - Casas Bahia (Loja 2),"R. Doze de Outubro, 436 - Lapa         Funcionamento: Segunda à Sabado: 08:30h às 20h; Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7029868","-23,5194023",19,Lixo Eletrônico - Casas Bahia (Loja 4),"Rua Dr. Cincinato Pamponet, 161 - Lapa    Funcionamento: Segunda à Sabado: 08:30h às 20h; Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7481259","-23,5572596",20,Lixo Eletrônico - Extra Jaguaré,"Av. Jaguaré, 460 - Jaguare Funcionamento: 24h Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7266632","-23,5182239",21,Lixo Eletrônico - Extra Anhanguera,"R. Samuel Klabin, 193 - Vila Bela Alianca Funcionamento: 24h; Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7038317","-23,5188968",22,Lixo Eletrônico - Lojas Americanas (Lapa),"R. Doze de Outubro, 92 - Lapa            Funcionamento: Segunda à sábado: 08:30h às 18h; Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7020895","-23,5205054",23,Lixo Eletrônico - Pernambucanas (Lapa),"Rua DR Cincinnatus POMPONET, 11 - Lapa   Funcionamento: Segunda à Sexta: 09h às 18h; sabádo: 09h às 17h.   Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7002252","-23,5097344",24,Lixo Eletrônico - Ponto Frio Megastore,"Av. Emb. Macedo Soares, 9175 - Água Branca. Funcionamento: Segunda à domingo das 10h às 22h. Tel.: (11) 5212-5450. Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7023779","-23,520667",25,Lixo Eletrônico - Ponto Frio Lapa 6,"R. Nossa Sra. da Lapa, 76 - Lapa. Funcionamento: Segunda à Sabádo: 08:30h às 20h; Domingo: 09h às 18h. Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,6576373","-23,5219268",26,Lixo Eletrônico - Walmart Pacaembú,"Rua James Holland, 668 - Pacaembu. Funcionamento: Segunda à domingo das 08h às 23h. Tel.: (11) 2177-3700. Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,7305826","-23,5370901",27,Lixo Eletrônico - Walmart Vila Leopoldina,"Av. Dr. Gastão Vidigal, 2345 - Vila Leopoldina. Funcionamento: Segunda à domingo das 08h às 22h. Tel.: (11) 3648-3770. Recebe: eletrodomésticos e eletrônicos de pequeno porte. Exceto: baterias, pilhas, lâmpadas fluorescentes e tonners de impressora."
"-46,5767683","-23,52542",28,Lixo Eletrônico - Atacadão Matriz,"AV. MORVAN DIAS DE FIGUEIREDO, 6169"
