x,y,gid,Name,description
"-46,62871","-23,531798",1,PEV - 2º B. P. Choque,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr. Jorge Miranda, 367 - Luz."
"-46,728094","-23,502519",2,PEV - Parque Cidade de Toronto,"Materiais recicláveis: metal, papel, plástico e vidro. Pirituba/Jaraguá - Av. Cardeal Motta, s/n - City América."
"-46,719766","-23,481324",3,PEV - Parque Rodrigo de Gasperi,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Antônio Fernandes Pinheiro - Jardim Cidade Pirituba."
"-46,7364","-23,501196",4,PEV - Parque São Domingo,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Pedro Sernagiotti, 125 - Parque São Domingos."
"-46,73592","-23,501253",5,PEV - Parque São Domingo,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Pedro Sernagiotti, 125 - Parque São Domingos."
"-46,718629","-23,566333",6,PEV - Instituto Butantã,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Vital Brasil, 1500 - Butantã."
"-46,702725","-23,564267",7,PEV - CET,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Sumidouro- Pinheiros."
"-46,647455","-23,540587",8,PEV - Terminal Amaral Gurge,"Materiais recicláveis: metal, papel, plástico e vidro. R. Dr. Frederico Steidel, 107 - Santa Cecilia."
"-46,712468","-23,568052",9,PEV - Instituto de Criminalista,"Materiais recicláveis: metal, papel, plástico e vidro. R. Moncorvo Filho, 410 - Butantã."
"-46,681442","-23,517193",10,PEV - CET,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Marquês de São Vicente, 2154 - Barra Funda."
"-46,607385","-23,466254",11,PEV - Praça Lions Clube,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Lions Clube-Tucuruvi - Jardim Leonor Mendes de Barros."
"-46,724935","-23,494252",12,PEV - Parque Jardim Felicidade,"Materiais recicláveis: metal, papel, plástico e vidro. Parque Jardim Felicidade - Jardim Felicidade."
"-46,5980235","-23,5147029",13,PEV - Parque Vila Guilherme-Trote,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Nadir Dias de Figueiredo, s/n - Vila Guilherme."
"-46,71524","-23,564086",14,PEV - USP/Creche COSEAS,"Materiais recicláveis: metal, papel, plástico e vidro. Av. da Universidade, 200 - Butantã."
"-46,73162","-23,552265",15,PEV - USP/POLI,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Prof. Almeida Prado, 110 - Butantã."
"-46,722581","-23,564087",16,PEV - USP/Departamento de História e Geografia,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Prof. Lineu Prestes, 338 - Butantã."
"-46,718986","-23,55772",17,PEV - USP/CRUSP,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Professor Mello Moraes, 1235 - Butantã."
"-46,728322","-23,553012",18,PEV - USP/POLI,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Professor Mello Moraes, 2269 - Butantã."
"-46,742378","-23,56461",19,PEV - USP/FOFITO,"Materiais recicláveis: metal, papel, plástico e vidro. R. Cipotânea, 51 - Vila Butantã."
"-46,740591","-23,564975",20,PEV - USP/HU,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Prof. Lineu Prestes, 2565 - Butantã."
"-46,719771","-23,560789",21,PEV - USP/Praça do Relógio,"Materiais recicláveis: metal, papel, plástico e vidro. Praça do Relógio Solar, 300 - Butantã."
"-46,721716","-23,559702",22,PEV - USP/MAC,"Materiais recicláveis: metal, papel, plástico e vidro. R. do Anfiteatro, 295 - Butantã."
"-46,63487","-23,532169",23,PEV - Praça da Luz,"Materiais recicláveis: metal, papel, plástico e vidro. R. Ribeiro de Lima - Luz."
"-46,730298","-23,566196",24,PEV - USP/IB,"Materiais recicláveis: metal, papel, plástico e vidro. Endereço: Rua do Matão 187 - Butantã."
"-46,701282","-23,58942",25,PEV - Bosque Morumbi,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Engenheiro Oscar Americano, 502 - Cidade Jardim."
"-46,575719","-23,529868",26,PEV - Parque do Piqueri,"Materiais recicláveis: metal, papel, plástico e vidro. R. Tuiuti, 515 - Tatuapé."
"-46,629453","-23,515456",27,PEV - Centro de Zoonoses,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Santos Dumont."
"-46,72614","-23,579473",28,PEV - Parque Previdência,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Pedro Peccinini, 88 - Instituto de Previdência."
"-46,730399","-23,5837",29,PEV - Parque Luís Carlos Prestes,"Materiais recicláveis: metal, papel, plástico e vidro. R. Prof. Oséias Silveira - Jardim Peri Peri."
"-46,756156","-23,588059",30,PEV - Parque Raposo Tavares,"Materiais recicláveis: metal, papel, plástico e vidro. R. Telmo Coelho Filho, 200 - Jardim Olympia."
"-46,567126","-23,5369831",31,PEV - 8º Batalhão de PM,"Materiais recicláveis: metal, papel, plástico e vidro. R. Viléla, 307 - Tatuapé."
"-46,61884","-23,472297",32,PEV - Academia de Policia Militar Barro Branco,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Água Fria, 1923 - Água Fria."
"-46,521348","-23,523213",33,PEV - Auto Posto 5000,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Amador Bueno da Veiga, 2550 - Penha de Franca."
"-46,685236","-23,50874",34,PEV - Autoposto Fukuya Kanemoto,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Otaviano Alves de Lima, 2888 - Freguesia do Ó."
"-46,673653","-23,478696",35,PEV - AV. Engenheiro Dias de Barros nº579 X Prof. Mario Dapico,"Materiais recicláveis: metal, papel, plástico e vidro. AV. Engenheiro Dias de Barros nº579 X Prof. Mario Dapico."
"-46,592775","-23,527359",36,PEV - Batalhão da Polícia Militar,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Morvan Dias de Figueiredo, 4221 - Parque Novo Mundo."
"-46,70054","-23,538478",37,PEV - Calçada EE Marina Cerqueira César,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Acuruá, 241 - Vila Argentina."
"-46,641825","-23,541525",38,PEV - Calçada da Av. São João,"Materiais recicláveis: metal, papel, plástico e vidro. Av. São João X Pedro Américo - República."
"-46,687982","-23,568556",39,PEV - Calçada Emei Pedroso de Moraes,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Pedroso de Morais, 100 - Pinheiros."
"-46,639876","-23,515215",40,PEV - Sede São Paulo Turismo,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Olavo Fontoura, 1209 - Anhembi."
"-46,794603","-23,429499",41,PEV - CAPES Centro Anhanguera de Prom. E Ed.,"Materiais recicláveis: metal, papel, plástico e vidro. R. Alberto Gentili, 363 - Jardim Santa Fé."
"-46,629724","-23,531765",42,PEV - Cavalaria,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr. Jorge Miranda, 238 - Luz."
"-46,58311","-23,478441",43,PEV - CDC Mario Covas SAVIC,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Jardim Japão, 1440 - Jardim Brasil."
"-46,580016","-23,547486",44,PEV - Cemitério Quarta Parada,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Salim Farah Maluf - Tatuapé."
"-46,789612","-23,600724",45,PEV - CEU UIRAPURU,"Materiais recicláveis: metal, papel, plástico e vidro. R. Nazir Miguel, 849 - Raposo Tavares."
"-46,587215","-23,458465",46,PEV - Clube Guapira,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr. José Camargo Aranha, 404 - Jardim Guapira."
"-46,596923","-23,530006",47,PEV - União dos Operários Futebol Club,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Juvenal Gomes Coimbra, 64 - Catumbi."
"-46,791788","-23,428835",48,PEV - Colégio Semear,"Materiais recicláveis: metal, papel, plástico e vidro. R. Luís Pereira Rebouças, 65 - Jardim Santa Fé."
"-46,636628","-23,521664",49,PEV - Coopere Centro,"Materiais recicláveis: metal, papel, plástico e vidro. Av. do Estado, 300 - Bom Retiro."
"-46,626842","-23,532288",50,PEV - CPCHQ,"Comando de Policiamento de Choque PMESP Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr. Jorge Miranda, 789 - Luz."
"-46,621697","-23,551592",51,PEV - CPTRANS Batalhão de Trânsito,"Rua. Dr. Jorge Miranda nº 367. Materiais recicláveis: metal, papel, plástico e vidro. R. Visc. de Parnaíba, 334 - Brás."
"-46,604765","-23,464351",52,PEV - E.E. Dr. Alberto Cardoso de Mello Neto,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Profa. Virgília Rodrigues Alves de Carvalho Pinto, 633 - Jardim Leonor Mendes de Barro."
"-46,689659","-23,565626",53,PEV - E.E.Fernão Dias Paes,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Pedroso de Morais, 420 - Pinheiros."
"-46,643241","-23,520934",54,PEV - Ecopraça,"Materiais recicláveis: metal, papel, plástico e vidro. R. Gen. Flôres - Bom Retiro."
"-46,781452","-23,597004",55,PEV - Educandário Dom Duarte,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Eng. Heitor Antônio Eiras García, 5985 - Jardim Esmeralda."
"-46,754358","-23,398932",56,PEV -  E.M.E.F. Cândido Portinari,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Guilherme Correia de Melo, 408 - Perus."
"-46,783768","-23,60205",57,PEV - E.M.E.F. Eda Terezinha Chica Medeiros Profa,"Materiais recicláveis: metal, papel, plástico e vidro. R. Eng. Hugo Takahashi, 333 - Raposo Tavares."
"-46,775024","-23,573988",58,PEV - E.M.E.F. Conde Luiz Eduardo Matarazzo,"Av. Padre Tiago Alberione 150. Materiais recicláveis: metal, papel, plástico e vidro. Av. Padre Tiago Alberione - Parque dos Principes."
"-46,792858","-23,429936",59,PEV - E.M.E.F. Paulo Prado,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Pompeu Bertoni, 80 - Jardim Santa Fé."
"-46,726534","-23,489139",60,PEV - E.M.E.F. Prof. Gabriel Prestes,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Dr. Carlos Afranio da Cunha Matos, 134 - Chácara Inglesa."
"-46,79741","-23,594392",61,PEV - E.M.E.F. Teófilo Benedito Ottoni,"Materiais recicláveis: metal, papel, plástico e vidro. R. Inácio Cervantes, 490 - Parque Ipê."
"-46,690271","-23,462188",62,PEV - E.M.E.I. Vereador Alex Freua Netto,"Materiais recicláveis: metal, papel, plástico e vidro. <br>R. Santana do Araçuaí, 185 - Jardim Guarani."
"-46,745684","-23,453452",63,PEV - E.M.E.I. Julio Alves Pereira,"Materiais recicláveis: metal, papel, plástico e vidro. R. Carolina Carvalho, 67 - Cidade D'Abril."
"-46,564562","-23,539688",64,PEV - Entrada do Parque Municipal (Próximo ao Metrô Carrão),"Materiais recicláveis: metal, papel, plástico e vidro. Rua Apucarana x Platina - Carrão."
"-46,556425","-23,53315",65,PEV - E.E. Carlos Escobar,"Materiais recicláveis: metal, papel, plástico e vidro. R. Adélino de Almeida Castilho, 178 - Tatuapé."
"-46,572166","-23,566358",66,PEV - Escola Serrat,"Materiais recicláveis: metal, papel, plástico e vidro. R. Toriba, 141 - Vila Canero."
"-46,6371473","-23,5366551",67,PEV - Estação Tiradentes,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Tiradentes, Pça Cel. Fernando Prestes - Bom Retiro."
"-46,725406","-23,44206",68,PEV - Etec Jaraguá,"Materiais recicláveis: metal, papel, plástico e vidro. R. Jaíro de Almeida Machado, 401 - Jaraguá."
"-46,712724","-23,463285",69,PEV - Etec Jd Paulistano,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Elísio Teixeira Leite, 3611 - Jardim Paulistano."
"-46,669503","-23,518065",70,PEV - Garagem Barra Funda INOVA,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Thomas Edison, 1006 - Barra Funda."
"-46,595851","-23,580573",71,PEV - Garagem Moóca INOVA,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Henry Ford, 1718 - Parque da Mooca."
"-46,606061","-23,553955",72,PEV - Juventus Com. De Comb.LTDA,"Materiais recicláveis: metal, papel, plástico e vidro. R. João Antônio de Oliveira, 108 - Mooca."
"-46,667251","-23,473858",73,PEV - Largo do Japonês,"Materiais recicláveis: metal, papel, plástico e vidro. Avenida Deputado Emilio Carlos - Limão. "
"-46,636846","-23,541432",74,PEV - Largo Santa Ifigênia,"Materiais recicláveis: metal, papel, plástico e vidro. Largo Santa Ifigênia - Santa Ifigênia."
"-46,594278","-23,540981",75,PEV - Largo São José do Belém,"Largo São José do Belém ao Lado da Igreja. Materiais recicláveis: metal, papel, plástico e vidro. Largo São José do Belém - Belenzinho."
"-46,616956","-23,520518",76,PEV - Amlurb,"Materiais recicláveis: metal, papel, plástico e vidro. R. Azurita, 100 - Canindé."
"-46,633448","-23,536458",77,PEV - Metrô Luz,"Materiais recicláveis: metal, papel, plástico e vidro. Luz."
"-46,701517","-23,519268",78,PEV - Mercado da Lapa,"Materiais recicláveis: metal, papel, plástico e vidro. R. John Harrison - Lapa."
"-46,717403","-23,490792",79,PEV - Mercado Municipal Pirituba,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Almirante Isaias de Noronha, 163 - Vila Pereira Barreto."
"-46,589709","-23,542635",80,PEV - Metro Estaçao Belém,"Materiais recicláveis: metal, papel, plástico e vidro - Belém."
"-46,607245","-23,54638",81,PEV - Metro Estação Bresser-Mooca,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Ipanema , 635 - Mooca."
"-46,564444","-23,537856",82,PEV - Metro Estação Carrão,"Materiais recicláveis: metal, papel, plástico e vidro. AV. Radial Leste, esquina com rua Apucarana - Carrão."
"-46,635554","-23,555226",83,PEV - Metro Estação Liberdade,"Praça da Liberdade, 133 - Liberdade."
"-46,635309","-23,535079",84,PEV - Metro Estação da Luz,"Materiais recicláveis: metal, papel, plástico e vidro. Praça da Luz, 1 - Luz."
"-46,542584","-23,533478",85,PEV - Metro Estação Penha,"Materiais recicláveis: metal, papel, plástico e vidro. Avenida Conde de Frontin - Penha."
"-46,530915","-23,531895",86,PEV - Metro Estação Vila Matilde,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Alvinópolis - Vila Matilde."
"-46,640112","-23,568877",87,PEV - Metro Estação Vergueiro,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Vergueiro 790 - Paraíso."
"-46,627905","-23,554666",88,PEV - Paróquia Nossa Senhora da Paz,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Glicério, 225 - Liberdade."
"-46,66993","-23,530061",89,PEV - Parque da Água Branca,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Francisco Matarazzo, 455 - Barra Funda."
"-46,701308","-23,589345",90,PEV - Parque Alfredo Volpi,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Engenheiro Oscar Americano, 480 - Morumbi."
"-46,688749","-23,587998",91,PEV - Parque Municipal Mário Pimenta Camargo - Parque do Povo,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Henrique Chamma, 420 - Itaim Bibi."
"-46,606203","-23,461838",92,PEV - Parque Sena,"Materiais recicláveis: metal, papel, plástico e vidro. R. Sena, 349 - Jardim Leonor Mendes de Barros."
"-46,657397","-23,562379",93,PEV - Parque Trianon,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Peixoto Gomide, 949 - Cerqueira César."
"-46,75027","-23,513525",94,PEV - Parque Vila dos Remédios,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Carlos Alberto Vanzolini, 413 - Vila Jaguara."
