x,y,gid,Name,description
"-46,5746577","-23,5242909",1,Coleta de Pilhas - Atacadão Matriz,"Av. Morvan Dias de Figueiredo, 6169 - Vila Maria. Horário Comercial."
"-46,720349","-23,4363526",2,Coleta de Pilhas - Atacadão Taipas,"Av. Raimundo Pereira de Magalhães, 11980 - Taipas. Horário Comercial."
"-46,4561257","-23,4948547",3,Coleta de Pilhas - Atacadão Vila Jacui,"Av. Dr. Custódio de Lima, 297 - Parque Cruzeiro do Sul. Horário comercial."
"-46,6005127","-23,5811242",4,Coleta de Pilhas - Atacadão Ipiranga,"Rua Manifesto, 931 - Ipiranga. Horário Comercial."
"-46,7369715","-23,6696933",5,Coleta de Pilhas - Atacadão Santo Amaro ,"Estrada do M'Boi Mirim, 380 - Jardim das Flores. Horário Comercial."
"-46,4206232","-23,4940061",6,Coleta de Pilhas - Atacadão São Miguel ,"Avenida Marechal Tito, 2501 - São Miguel Paulista. Horário Comercial."
"-46,4468671","-23,5599305",7,Coleta de Pilhas - Atacadão Itaquera ,"Estr. do Pêssego, 100 - Colônia, Zona Leste. Horário Comercial."
"-46,6446501","-23,629195",8,Coleta de Pilhas - ABIMAQ,"Av. Jabaquara, 2925 - Mirandópolis. Horário Comercial."
"-46,6732548","-23,5310289",9,Coleta de Pilhas - AGS DIGITAL SERVICE ,"R. Dona Germaine Burchard, 550 - Água Branca. Horário Comercial. "
"-46,5987915","-23,6313186",10,Coleta de Pilhas - Carrefour Anchieta ,"Av. Marginal Direita da Anchieta, 3398 - Sacomã. Horário Comercial."
"-46,5165111","-23,5600887",11,Coleta de Pilhas - Carrefour Aricanduva,"Av. Rio das Pedras, 555 - Jardim Aricanduva. Horário Comercial."
"-46,6864684","-23,6258616",12,Coleta de Pilhas - Carrefour Brooklin,"Av. Santo Amaro, 4815 - Brooklin Paulista. Horário Comercial "
"-46,725046","-23,584668",13,Coleta de Pilhas - Carrefour Butantã,"L1 - Av. Prof. Francisco Morato, 2718 - Butantã. Horário Comercial "
"-46,6552751","-23,5128145",14,Coleta de Pilhas - Carrefour Casa Verde,"R. Marambaia, 200 - Casa Verde. Horário Comercial "
"-46,620685","-23,5143",15,Coleta de Pilhas - Carrefour Center Norte,"Av. Moysés Roysen, s/n - Vila Guilherme. Horário Comercial."
"-46,7344477","-23,6422907",16,Coleta de Pilhas - Carrefour Giovanni Gronchi ,"Av. Alberto Augusto Alves, 50 - Vila Andrade. Horário Comercial."
"-46,627705","-23,619219",17,Coleta de Pilhas - Carrefour Imigrantes,"R. Ribeiro Lacerda, 940 - Bosque da Saúde. Horário Comercial. "
